"","nuclearReactor","nuclearReactorLabel","Capacity","StatusLabel","GeoCoordinates","CountryLabel"
"85","http://www.wikidata.org/entity/Q676411","Fessenheim Nuclear Power Plant",1760,"decommissioned","Point(7.5625 47.90361111)","France"
"86","http://www.wikidata.org/entity/Q679563","Brokdorf Nuclear Power Plant",1480,"decommissioned","Point(9.344722222 53.850833333)","Germany"
"87","http://www.wikidata.org/entity/Q686931","Mühleberg Nuclear Power Plant",355,"decommissioned","Point(7.27028 46.9708)","Switzerland"
"88","http://www.wikidata.org/entity/Q703271","Krümmel Nuclear Power Plant",1402,"decommissioned","Point(10.4089 53.41)","Germany"
"89","http://www.wikidata.org/entity/Q704293","Brunsbüttel Nuclear Power Plant",806,"decommissioned","Point(9.20167 53.8917)","Germany"
"90","http://www.wikidata.org/entity/Q711929","Kuosheng Nuclear Power Plant",985,"decommissioned","Point(121.66286004 25.2029346)","Taiwan"
"91","http://www.wikidata.org/entity/Q712574","Jinshan Nuclear Power Plant",1208,"decommissioned","Point(121.56767324 25.29147459)","Taiwan"
"92","http://www.wikidata.org/entity/Q743467","Hanhikivi Nuclear Power Plant",1200,"proposed building or structure","Point(24.26388889 64.53055556)","Finland"
"93","http://www.wikidata.org/entity/Q762368","San Onofre Nuclear Generating Station",2254,"decommissioned","Point(-117.555 33.3689)","United States of America"
"94","http://www.wikidata.org/entity/Q782133","Hunterston B nuclear power station",965,"decommissioned","Point(-4.89009 55.7221)","United Kingdom"
"95","http://www.wikidata.org/entity/Q835791","Novovoronezh Nuclear Power Plant II",2375,"in use","Point(39.23215628 51.28168913)","Russia"
